,device_name,network_count,duration,has_monitors,is_merged,multithreading_type,is_recompile,last_run_time,compilation_time,binary_run_time,neurongroup_stateupdater,neurongroup_thresholder,neurongroup_resetter,synapses_pre,synapses_pre_push_spikes,spikemonitor,statemonitor,sum_ratemonitors,total_run_time,duplicating_time,result_extraction_time
13,cuda_standalone,1,1.0,False,False,GPU,0.7391304347826086,0.5494909130434783,2.273847776910533,6.145182785780533,0.1507711304347826,0.09087613043478261,0.06806343478260869,0.1436303043478261,0.013322347826086958,0.0,0.0,0.0,11.655307261840157,0.0,9.484913038113044e-06
17,cuda_standalone,2,1.0,False,False,GPU,0.7391304347826086,1.0989818260869566,2.273847776910533,12.290365571561066,0.3015422608695652,0.18175226086956522,0.13612686956521738,0.2872606086956522,0.026644695652173915,0.0,0.0,0.0,23.310614523680314,0.0,9.484913038113044e-06
16,cuda_standalone,4,1.0,False,False,GPU,0.7391304347826086,2.197963652173913,2.273847776910533,24.580731143122133,0.6030845217391304,0.36350452173913045,0.27225373913043477,0.5745212173913044,0.05328939130434783,0.0,0.0,0.0,46.62122904736063,0.0,9.484913038113044e-06
15,cuda_standalone,8,1.0,False,False,GPU,0.7391304347826086,4.395927304347826,2.273847776910533,49.161462286244266,1.2061690434782608,0.7270090434782609,0.5445074782608695,1.1490424347826087,0.10657878260869566,0.0,0.0,0.0,93.24245809472126,0.0,9.484913038113044e-06
14,cuda_standalone,16,1.0,False,False,GPU,0.7391304347826086,8.791854608695653,2.273847776910533,98.32292457248853,2.4123380869565216,1.4540180869565218,1.089014956521739,2.2980848695652174,0.21315756521739132,0.0,0.0,0.0,186.48491618944252,0.0,9.484913038113044e-06
12,cuda_standalone,32,1.0,False,False,GPU,0.7391304347826086,17.583709217391306,2.273847776910533,196.64584914497706,4.824676173913043,2.9080361739130436,2.178029913043478,4.596169739130435,0.42631513043478264,0.0,0.0,0.0,372.96983237888503,0.0,9.484913038113044e-06
11,cuda_standalone,64,1.0,False,False,GPU,0.7391304347826086,35.16741843478261,2.273847776910533,393.2916982899541,9.649352347826087,5.816072347826087,4.356059826086956,9.19233947826087,0.8526302608695653,0.0,0.0,0.0,745.9396647577701,0.0,9.484913038113044e-06
10,cuda_standalone,128,1.0,False,False,GPU,0.7391304347826086,70.33483686956522,2.273847776910533,786.5833965799083,19.298704695652173,11.632144695652174,8.712119652173913,18.38467895652174,1.7052605217391306,0.0,0.0,0.0,1491.8793295155401,0.0,9.484913038113044e-06
9,cuda_standalone,256,1.0,False,False,GPU,0.7391304347826086,140.66967373913045,2.273847776910533,1573.1667931598165,38.597409391304346,23.26428939130435,17.424239304347825,36.76935791304348,3.410521043478261,0.0,0.0,0.0,2983.7586590310802,0.0,9.484913038113044e-06
0,cpp_standalone,1,1.0,False,False,none,0.6666666666666666,3.63333,0.39569769965277773,4.152361604902479,3.446438888888889,0.061276,0.006310888888888889,0.029107222222222222,0.019006444444444444,0.0,0.0,0.0,6.563186751471625,0.0,8.847978379933332e-06
